title,car_make,car_model,year_cleaned,mileage_cleaned,range_km_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,has_warranty,trim_level,region,is_dealer,dealer_name,days_listed,price_cleaned,predicted_value,value_difference,url
Nissan Leaf,Nissan,Leaf,2022.0,37066.0,285.0,9.266666666666667,1.0,0.0,1.0,Visia,Oslo/Akershus,1.0,Mobile Skøyen AS,0,169800.0,184431,14631,https://www.finn.no/mobility/item/452694845
Nissan Leaf,Nissan,Leaf,2018.0,83400.0,385.0,12.0,1.0,0.0,1.0,Tekna,Annet,1.0,ALTIBIL AS,0,99900.0,114497,14597,https://www.finn.no/mobility/item/453579717
Nissan Leaf,Nissan,Leaf,2020.0,91000.0,270.0,7.933333333333334,1.0,0.0,0.0,Tekna,Rogaland,0.0,,0,133532.0,147136,13604,https://www.finn.no/mobility/item/452668612
Nissan Leaf,Nissan,Leaf,2019.0,218000.0,270.0,12.0,1.0,0.0,0.0,Ukjent,Annet,1.0,Auksjonen.No AS,0,65532.0,78984,13452,https://www.finn.no/mobility/item/453403393
Nissan Leaf,Nissan,Leaf,2023.0,32736.0,270.0,12.933333333333334,1.0,0.0,1.0,N-Connecta,Oslo/Akershus,0.0,,0,187505.0,200954,13449,https://www.finn.no/mobility/item/448070988
Nissan Leaf,Nissan,Leaf,2018.0,86000.0,270.0,7.0,1.0,0.0,0.0,Ukjent,Oslo/Akershus,0.0,,0,99532.0,112916,13384,https://www.finn.no/mobility/item/451046761
Nissan Leaf,Nissan,Leaf,2018.0,150000.0,385.0,12.0,1.0,0.0,0.0,Ukjent,Annet,1.0,Autorada AS,0,89000.0,102333,13333,https://www.finn.no/mobility/item/450329060
Nissan Leaf,Nissan,Leaf,2015.0,75000.0,385.0,17.966666666666665,2.0,0.0,0.0,Ukjent,Annet,0.0,,0,52532.0,65665,13133,https://www.finn.no/mobility/item/450486981
Nissan Leaf,Nissan,Leaf,2019.0,99850.0,270.0,8.666666666666666,1.0,0.0,1.0,Ukjent,Vestfold/Telemark,0.0,,0,114432.0,127536,13104,https://www.finn.no/mobility/item/445804901
Nissan Leaf,Nissan,Leaf,2022.0,20600.0,270.0,12.0,2.0,0.0,1.0,Ukjent,Østfold,1.0,Brennes Auto Moss AS,0,195000.0,208041,13041,https://www.finn.no/mobility/item/452957750
Nissan Leaf,Nissan,Leaf,2018.0,111000.0,270.0,12.0,1.0,0.0,0.0,Ukjent,Sørlandet,1.0,TG BIL & BÅT AS,0,99000.0,111727,12727,https://www.finn.no/mobility/item/450903887
Nissan Leaf,Nissan,Leaf,2019.0,167000.0,385.0,12.0,1.0,0.0,1.0,Ukjent,Annet,1.0,HS AUTO AS,0,99900.0,112516,12616,https://www.finn.no/mobility/item/435425871
Nissan Leaf,Nissan,Leaf,2021.0,43000.0,385.0,12.566666666666666,4.0,0.0,0.0,Ukjent,Vestfold/Telemark,0.0,,0,179000.0,191289,12289,https://www.finn.no/mobility/item/436036800
Nissan Leaf,Nissan,Leaf,2026.0,5.0,445.0,12.0,1.0,0.0,1.0,Ukjent,Annet,1.0,Birger N Haug avd. Rud,0,369900.0,382008,12108,https://www.finn.no/mobility/item/444942042
Nissan Leaf,Nissan,Leaf,2021.0,122000.0,385.0,12.0,1.0,0.0,1.0,N-Connecta,Vestland,1.0,Bertel O. Steen Ringerike,0,159000.0,171048,12048,https://www.finn.no/mobility/item/453425363
Nissan Leaf,Nissan,Leaf,2020.0,153948.0,385.0,8.9,2.0,0.0,0.0,Ukjent,Vestfold/Telemark,0.0,,0,134532.0,146382,11850,https://www.finn.no/mobility/item/450755482
Nissan Leaf,Nissan,Leaf,2019.0,65000.0,385.0,12.0,1.0,0.0,1.0,Ukjent,Østfold,1.0,Dahles Auto Moss AS,0,129900.0,141745,11845,https://www.finn.no/mobility/item/439021077
Nissan Leaf,Nissan,Leaf,2018.0,143000.0,270.0,12.0,1.0,0.0,1.0,N-Connecta,Rogaland,1.0,LOYAL AUTO AS,0,89000.0,100746,11746,https://www.finn.no/mobility/item/445335868
Nissan Leaf,Nissan,Leaf,2021.0,40700.0,270.0,12.0,1.0,0.0,0.0,Acenta,Vestfold/Telemark,1.0,Telemark Bilutsalg AS,0,144900.0,156169,11269,https://www.finn.no/mobility/item/441012966
Nissan Leaf,Nissan,Leaf,2019.0,70225.0,385.0,12.0,1.0,0.0,1.0,Ukjent,Rogaland,1.0,BILTEKNIKK 1 AS,0,129900.0,141085,11185,https://www.finn.no/mobility/item/448705431
Nissan Leaf,Nissan,Leaf,2019.0,148900.0,385.0,12.0,1.0,0.0,0.0,Ukjent,Vestland,1.0,Auto Kompetanse AS,0,97500.0,108674,11174,https://www.finn.no/mobility/item/452499520
Nissan Leaf,Nissan,Leaf,2018.0,95817.0,270.0,12.0,1.0,0.0,0.0,N-Connecta,Vestfold/Telemark,1.0,Auksjonen.No AS,0,99532.0,110461,10929,https://www.finn.no/mobility/item/452510185
Nissan Leaf,Nissan,Leaf,2022.0,28500.0,270.0,12.0,1.0,0.0,1.0,N-Connecta,Oslo/Akershus,1.0,Rebil,0,189000.0,199910,10910,https://www.finn.no/mobility/item/452378889
Nissan Leaf,Nissan,Leaf,2021.0,64000.0,270.0,4.933333333333334,1.0,0.0,0.0,N-Connecta,Annet,0.0,,0,144532.0,155425,10893,https://www.finn.no/mobility/item/447469776
Nissan Leaf,Nissan,Leaf,2018.0,140079.0,385.0,12.0,1.0,0.0,1.0,Acenta,Sørlandet,1.0,AUTO COMPANY AS,0,99900.0,110781,10881,https://www.finn.no/mobility/item/439368737
Nissan Leaf,Nissan,Leaf,2023.0,3800.0,270.0,12.0,1.0,0.0,1.0,Visia,Trøndelag,1.0,Auto 8-8 Trio AS,0,215000.0,225806,10806,https://www.finn.no/mobility/item/452519154
Nissan Leaf,Nissan,Leaf,2017.0,75000.0,385.0,12.066666666666666,1.0,0.0,1.0,Ukjent,Annet,1.0,Møller Bil Bruktbil avd. Outlet Stor-Oslo,0,59000.0,69770,10770,https://www.finn.no/mobility/item/453326933
Nissan Leaf,Nissan,Leaf,2018.0,93000.0,385.0,9.2,1.0,0.0,0.0,Tekna,Annet,1.0,Birger N. Haug AS avd Gardermoen Outlet,0,109900.0,120431,10531,https://www.finn.no/mobility/item/450293931
Nissan Leaf,Nissan,Leaf,2018.0,53500.0,385.0,12.0,1.0,0.0,1.0,Ukjent,Annet,1.0,Nitteberg Bil AS,0,119000.0,129409,10409,https://www.finn.no/mobility/item/452808226
Nissan Leaf,Nissan,Leaf,2023.0,11500.0,270.0,12.0,1.0,0.0,1.0,Ukjent,Annet,1.0,GOL AUTO AS,0,205000.0,215281,10281,https://www.finn.no/mobility/item/439396933
Nissan Leaf,Nissan,Leaf,2022.0,60000.0,385.0,12.0,1.0,0.0,1.0,Ukjent,Vestfold/Telemark,1.0,Øyans Bil Sandefjord AS,0,199900.0,210145,10245,https://www.finn.no/mobility/item/437981303
Nissan Leaf,Nissan,Leaf,2018.0,162892.0,385.0,23.266666666666666,1.0,0.0,0.0,Ukjent,Annet,0.0,,0,99532.0,109744,10212,https://www.finn.no/mobility/item/451217724
Nissan Leaf,Nissan,Leaf,2021.0,49300.0,385.0,21.5,1.0,0.0,1.0,Ukjent,Annet,1.0,DRIVALIA LEASE NORGE AS,0,179000.0,189149,10149,https://www.finn.no/mobility/item/449342114
Nissan Leaf,Nissan,Leaf,2019.0,100500.0,385.0,12.0,1.0,0.0,0.0,Tekna,Rogaland,1.0,Digicarsale AS,0,105000.0,115027,10027,https://www.finn.no/mobility/item/452463363
Nissan Leaf,Nissan,Leaf,2022.0,24000.0,270.0,12.0,1.0,0.0,1.0,Tekna,Annet,1.0,Dream Car,0,189999.0,199970,9971,https://www.finn.no/mobility/item/444859580
Nissan Leaf,Nissan,Leaf,2021.0,92000.0,385.0,12.0,1.0,0.0,0.0,Tekna,Annet,1.0,Røhneselmer AS avd. Lier,0,174900.0,184834,9934,https://www.finn.no/mobility/item/453620479
Nissan Leaf,Nissan,Leaf,2023.0,70393.0,385.0,21.933333333333334,1.0,0.0,1.0,Ukjent,Oslo/Akershus,0.0,,0,208000.0,217783,9783,https://www.finn.no/mobility/item/450382567
Nissan Leaf,Nissan,Leaf,2022.0,30000.0,270.0,12.0,1.0,0.0,1.0,Ukjent,Rogaland,1.0,Kverneland Bil | Volvo og MG Haugesund,0,189000.0,198772,9772,https://www.finn.no/mobility/item/447392639
Nissan Leaf,Nissan,Leaf,2020.0,43000.0,270.0,12.0,1.0,0.0,1.0,Ukjent,Trøndelag,1.0,Aage Vold Autosalg AS,0,149000.0,158663,9663,https://www.finn.no/mobility/item/451758421
