title,car_make,car_model,year_cleaned,mileage_cleaned,range_km_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,has_warranty,trim_level,region,is_dealer,dealer_name,days_listed,status,price_cleaned,predicted_value,value_difference,url
Tesla Model 3,Tesla,Model 3,2024.0,10500.0,629.0,32.13333333333333,1.0,0.0,1.0,Long Range,Annet,0.0,,0,Aktiv,419505.0,441189,21684,https://www.finn.no/mobility/item/451568556
Tesla Model 3,Tesla,Model 3,2021.0,87823.0,580.0,12.0,1.0,0.0,0.0,Long Range,Vestfold/Telemark,1.0,Auksjonen.No AS,0,Aktiv,204532.0,226179,21647,https://www.finn.no/mobility/item/444961669
Tesla Model 3,Tesla,Model 3,2023.0,93000.0,547.0,12.0,1.0,0.0,1.0,Performance,Annet,1.0,DAYTONA BILSENTER AS,0,Aktiv,319900.0,341427,21527,https://www.finn.no/mobility/item/453110563
Tesla Model 3,Tesla,Model 3,2020.0,76000.0,560.0,12.0,1.0,0.0,0.0,Long Range,Annet,1.0,Romerike Autohus AS,0,Aktiv,238000.0,259215,21215,https://www.finn.no/mobility/item/450690665
Tesla Model 3,Tesla,Model 3,2025.0,7500.0,660.0,43.06666666666667,1.0,0.0,1.0,Long Range,Annet,0.0,,0,Aktiv,427505.0,448501,20996,https://www.finn.no/mobility/item/446977680
Tesla Model 3,Tesla,Model 3,2021.0,96000.0,640.0,12.0,1.0,0.0,1.0,Ukjent,Oslo/Akershus,1.0,Karisma Auto AS,0,Aktiv,248900.0,269859,20959,https://www.finn.no/mobility/item/453091451
Tesla Model 3,Tesla,Model 3,2022.0,48800.0,491.0,12.0,1.0,0.0,1.0,Standard Range,Vestland,1.0,AutoSale AS,0,Aktiv,259900.0,280688,20788,https://www.finn.no/mobility/item/453463074
Tesla Model 3,Tesla,Model 3,2019.0,141000.0,415.0,17.8,3.0,0.0,1.0,Ukjent,Annet,1.0,Torgersen Bil AS,0,Aktiv,139532.0,159834,20302,https://www.finn.no/mobility/item/453603489
Tesla Model 3,Tesla,Model 3,2022.0,62700.0,602.0,12.0,1.0,0.0,1.0,Long Range,Oslo/Akershus,1.0,Kalbakken Bil AS,0,Aktiv,297600.0,317519,19919,https://www.finn.no/mobility/item/449272160
Tesla Model 3,Tesla,Model 3,2021.0,55753.0,567.0,12.0,1.0,0.0,1.0,Performance,Sørlandet,1.0,Z-AUTO AS,0,Aktiv,289900.0,309584,19684,https://www.finn.no/mobility/item/452385207
Tesla Model 3,Tesla,Model 3,2019.0,83000.0,560.0,12.0,1.0,0.0,1.0,Long Range,Rogaland,1.0,Motorama AS,0,Aktiv,195000.0,214509,19509,https://www.finn.no/mobility/item/452469099
Tesla Model 3,Tesla,Model 3,2024.0,35000.0,510.0,12.0,1.0,0.0,1.0,Ukjent,Annet,1.0,Rebil Salgshjelp,0,Aktiv,319000.0,338330,19330,https://www.finn.no/mobility/item/451899879
Tesla Model 3,Tesla,Model 3,2021.0,130000.0,567.0,12.0,1.0,0.0,0.0,Performance,Oslo/Akershus,0.0,,0,Aktiv,236868.0,255783,18915,https://www.finn.no/mobility/item/322367315
Tesla Model 3,Tesla,Model 3,2025.0,17200.0,629.0,12.0,2.0,0.0,1.0,Long Range,Sørlandet,1.0,TG BIL & BÅT AS,0,Aktiv,419000.0,437753,18753,https://www.finn.no/mobility/item/452499432
Tesla Model 3,Tesla,Model 3,2020.0,93000.0,409.0,12.0,3.0,0.0,0.0,Standard Range,Annet,1.0,AUTO LX AS,0,Aktiv,181000.0,199723,18723,https://www.finn.no/mobility/item/446176921
Tesla Model 3,Tesla,Model 3,2020.0,104800.0,530.0,20.633333333333333,1.0,0.0,0.0,Performance,Annet,0.0,,0,Aktiv,229000.0,247615,18615,https://www.finn.no/mobility/item/451537751
Tesla Model 3,Tesla,Model 3,2019.0,104228.0,560.0,12.0,1.0,0.0,1.0,Long Range,Rogaland,1.0,Karmøy Auto AS,0,Aktiv,195000.0,213595,18595,https://www.finn.no/mobility/item/453583699
Tesla Model 3,Tesla,Model 3,2023.0,53500.0,491.0,12.0,1.0,0.0,1.0,Ukjent,Trøndelag,1.0,BILGALLERIET AS,0,Aktiv,269990.0,288492,18502,https://www.finn.no/mobility/item/450734642
Tesla Model 3,Tesla,Model 3,2021.0,79000.0,614.0,15.933333333333334,4.0,0.0,1.0,Ukjent,Annet,0.0,,0,Aktiv,265000.0,283471,18471,https://www.finn.no/mobility/item/448254697
Tesla Model 3,Tesla,Model 3,2021.0,93500.0,580.0,9.166666666666666,3.0,0.0,0.0,Long Range,Annet,0.0,,0,Aktiv,241434.0,259821,18387,https://www.finn.no/mobility/item/452906498
Tesla Model 3,Tesla,Model 3,2021.0,72000.0,448.0,12.0,1.0,0.0,1.0,Standard Range,Vestland,1.0,Car4Sale AS,0,Aktiv,215000.0,233349,18349,https://www.finn.no/mobility/item/451466522
Tesla Model 3,Tesla,Model 3,2021.0,69900.0,448.0,13.533333333333331,1.0,0.0,1.0,Ukjent,Vestland,0.0,,0,Aktiv,213532.0,231564,18032,https://www.finn.no/mobility/item/452891342
Tesla Model 3,Tesla,Model 3,2025.0,9300.0,660.0,12.0,1.0,0.0,1.0,Long Range,Rogaland,1.0,AutoPoint AS,0,Aktiv,439000.0,456752,17752,https://www.finn.no/mobility/item/448499251
Tesla Model 3,Tesla,Model 3,2023.0,28000.0,547.0,12.0,1.0,0.0,1.0,Performance,Annet,1.0,Rebil,0,Aktiv,374900.0,391689,16789,https://www.finn.no/mobility/item/452511558
Tesla Model 3,Tesla,Model 3,2024.0,26000.0,629.0,12.0,1.0,0.0,1.0,Long Range,Østfold,1.0,KSL AUTO AS,0,Aktiv,399000.0,415785,16785,https://www.finn.no/mobility/item/451856111
Tesla Model 3,Tesla,Model 3,2019.0,113453.0,560.0,12.0,1.0,0.0,1.0,Long Range,Rogaland,1.0,Karmøy Auto AS,0,Aktiv,184900.0,201580,16680,https://www.finn.no/mobility/item/453582880
Tesla Model 3,Tesla,Model 3,2021.0,47000.0,614.0,14.8,1.0,0.0,1.0,Ukjent,Annet,0.0,,0,Aktiv,274532.0,291030,16498,https://www.finn.no/mobility/item/452163773
Tesla Model 3,Tesla,Model 3,2022.0,83000.0,491.0,24.666666666666668,1.0,0.0,1.0,Standard Range,Annet,0.0,,0,Aktiv,224532.0,240996,16464,https://www.finn.no/mobility/item/403509606
Tesla Model 3,Tesla,Model 3,2022.0,78891.0,547.0,6.0,2.0,0.0,1.0,Performance,Annet,0.0,,0,Aktiv,299532.0,315932,16400,https://www.finn.no/mobility/item/452381514
Tesla Model 3,Tesla,Model 3,2019.0,132500.0,530.0,12.0,1.0,0.0,1.0,Performance,Vestland,1.0,Bergen Bilformidling AS,0,Aktiv,189000.0,205279,16279,https://www.finn.no/mobility/item/449776018
Tesla Model 3,Tesla,Model 3,2021.0,43000.0,567.0,15.466666666666669,1.0,0.0,1.0,Performance,Annet,0.0,,0,Aktiv,315000.0,331008,16008,https://www.finn.no/mobility/item/309346493
Tesla Model 3,Tesla,Model 3,2023.0,33900.0,629.0,18.133333333333333,1.0,0.0,1.0,Ukjent,Annet,0.0,,0,Aktiv,358999.0,374971,15972,https://www.finn.no/mobility/item/448257180
