finn_id,title,url,price_cleaned,year_cleaned,mileage_cleaned,battery_capacity_cleaned,effect_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,first_seen_date
447361315,Nissan Leaf,https://www.finn.no/mobility/item/447361315,169900.0,2020,81812.0,62.0,218.0,12.0,1.0,0,2026-03-02
450646867,Nissan Leaf,https://www.finn.no/mobility/item/450646867,199000.0,2021,79000.0,62.0,218.0,12.0,2.0,0,2026-03-02
441567140,Nissan Leaf,https://www.finn.no/mobility/item/441567140,179000.0,2021,106100.0,40.0,218.0,12.0,2.0,0,2026-03-02
450256116,Nissan Leaf,https://www.finn.no/mobility/item/450256116,199900.0,2020,40000.0,40.0,218.0,12.0,2.0,0,2026-03-02
453359248,Nissan Leaf,https://www.finn.no/mobility/item/453359248,123532.0,2019,103974.0,40.0,150.0,11.6,2.0,0,2026-03-02
447297338,Nissan Leaf,https://www.finn.no/mobility/item/447297338,129000.0,2020,125000.0,40.0,150.0,12.0,1.0,0,2026-03-02
441182979,Nissan Leaf,https://www.finn.no/mobility/item/441182979,135900.0,2019,72000.0,40.0,150.0,12.0,2.0,0,2026-03-02
441171216,Nissan Leaf,https://www.finn.no/mobility/item/441171216,52000.0,2016,84895.0,24.0,109.0,8.033333333333333,2.0,0,2026-03-02
453434634,Nissan Leaf,https://www.finn.no/mobility/item/453434634,34532.0,2015,176000.0,40.0,109.0,12.0,2.0,0,2026-03-02
449810986,Nissan Leaf,https://www.finn.no/mobility/item/449810986,65000.0,2017,81000.0,40.0,109.0,12.0,1.0,0,2026-03-02
450042979,Nissan Leaf,https://www.finn.no/mobility/item/450042979,38000.0,2012,134000.0,40.0,109.0,23.366666666666667,2.0,0,2026-03-02
453382487,Nissan Leaf,https://www.finn.no/mobility/item/453382487,219000.0,2023,69900.0,59.0,218.0,10.066666666666666,2.0,0,2026-03-02
440394157,Nissan Leaf,https://www.finn.no/mobility/item/440394157,62000.0,2016,114861.0,30.0,109.0,9.066666666666666,6.0,0,2026-03-02
447232432,Nissan Leaf,https://www.finn.no/mobility/item/447232432,168000.0,2018,17000.0,40.0,150.0,12.0,2.0,0,2026-03-02
437703882,Nissan Leaf,https://www.finn.no/mobility/item/437703882,120000.0,2018,99000.0,40.0,150.0,18.233333333333334,2.0,0,2026-03-02
452977838,Nissan Leaf,https://www.finn.no/mobility/item/452977838,84032.0,2017,90000.0,30.0,109.0,12.266666666666667,2.0,0,2026-03-02
447080303,Nissan Leaf,https://www.finn.no/mobility/item/447080303,25000.0,2015,198000.0,24.0,109.0,10.7,2.0,0,2026-03-02
447061053,Nissan Leaf,https://www.finn.no/mobility/item/447061053,64900.0,2015,137698.0,40.0,150.0,12.0,2.0,0,2026-03-02
446813539,Nissan Leaf,https://www.finn.no/mobility/item/446813539,139900.0,2018,56500.0,40.0,150.0,25.3,2.0,0,2026-03-02
439520752,Nissan Leaf,https://www.finn.no/mobility/item/439520752,39900.0,2012,102000.0,40.0,109.0,12.0,2.0,0,2026-03-02
350481760,Nissan Leaf,https://www.finn.no/mobility/item/350481760,232129.0,2023,45800.0,62.0,150.0,12.0,1.0,0,2026-03-02
439021077,Nissan Leaf,https://www.finn.no/mobility/item/439021077,129900.0,2019,65000.0,40.0,150.0,12.0,2.0,0,2026-03-02
449498743,Nissan Leaf,https://www.finn.no/mobility/item/449498743,149900.0,2020,82000.0,40.0,150.0,12.0,2.0,0,2026-03-02
438823280,Nissan Leaf,https://www.finn.no/mobility/item/438823280,199900.0,2022,43900.0,40.0,150.0,12.0,2.0,0,2026-03-02
446858444,Nissan Leaf,https://www.finn.no/mobility/item/446858444,39900.0,2016,151000.0,30.0,109.0,23.9,2.0,0,2026-03-02
452957750,Nissan Leaf,https://www.finn.no/mobility/item/452957750,195000.0,2022,20600.0,40.0,150.0,12.0,2.0,0,2026-03-02
438259885,Nissan Leaf,https://www.finn.no/mobility/item/438259885,44000.0,2015,137500.0,40.0,109.0,12.0,2.0,0,2026-03-02
437073826,Nissan Leaf,https://www.finn.no/mobility/item/437073826,54000.0,2013,163800.0,40.0,109.0,12.0,2.0,0,2026-03-02
449483776,Nissan Leaf,https://www.finn.no/mobility/item/449483776,58000.0,2014,113000.0,40.0,109.0,12.0,2.0,0,2026-03-02
446607563,Nissan Leaf,https://www.finn.no/mobility/item/446607563,99900.0,2018,128300.0,40.0,150.0,0.9333333333333333,2.0,0,2026-03-02
452945179,Nissan Leaf,https://www.finn.no/mobility/item/452945179,129000.0,2019,91150.0,40.0,122.0,12.0,2.0,0,2026-03-02
449481302,Nissan Leaf,https://www.finn.no/mobility/item/449481302,29942.0,2013,134000.0,40.0,109.0,15.133333333333333,1.0,0,2026-03-02
452810723,Nissan Leaf,https://www.finn.no/mobility/item/452810723,159000.0,2022,58500.0,40.0,150.0,12.0,2.0,0,2026-03-02
446254474,Nissan Leaf,https://www.finn.no/mobility/item/446254474,55000.0,2014,160000.0,40.0,33.0,12.0,2.0,0,2026-03-02
449351722,Nissan Leaf,https://www.finn.no/mobility/item/449351722,239532.0,2022,35640.0,62.0,215.0,7.0,1.0,0,2026-03-02
446235237,Nissan Leaf,https://www.finn.no/mobility/item/446235237,39900.0,2015,151000.0,40.0,109.0,12.0,2.0,0,2026-03-02
435835574,Nissan Leaf,https://www.finn.no/mobility/item/435835574,169000.0,2020,96800.0,62.0,215.0,-0.6,2.0,0,2026-03-02
452774045,Nissan Leaf,https://www.finn.no/mobility/item/452774045,175000.0,2020,56000.0,40.0,218.0,12.0,2.0,0,2026-03-02
452640461,Nissan Leaf,https://www.finn.no/mobility/item/452640461,244900.0,2024,6200.0,40.0,150.0,12.0,2.0,0,2026-03-02
445800928,Nissan Leaf,https://www.finn.no/mobility/item/445800928,205000.0,2021,66000.0,40.0,218.0,12.0,2.0,0,2026-03-02
449168886,Nissan Leaf,https://www.finn.no/mobility/item/449168886,59000.0,2014,100800.0,40.0,109.0,12.0,2.0,0,2026-03-02
452634168,Nissan Leaf,https://www.finn.no/mobility/item/452634168,58700.0,2016,71250.0,40.0,109.0,12.0,2.0,0,2026-03-02
435030178,Nissan Leaf,https://www.finn.no/mobility/item/435030178,29999.0,2012,145532.0,40.0,109.0,12.0,2.0,0,2026-03-02
435621123,Nissan Leaf,https://www.finn.no/mobility/item/435621123,189900.0,2023,46000.0,40.0,150.0,12.0,2.0,0,2026-03-02
444945210,Nissan Leaf,https://www.finn.no/mobility/item/444945210,139000.0,2018,35000.0,40.0,150.0,12.0,2.0,0,2026-03-02
449156709,Nissan Leaf,https://www.finn.no/mobility/item/449156709,129000.0,2019,81050.0,40.0,150.0,12.0,2.0,0,2026-03-02
449083796,Nissan Leaf,https://www.finn.no/mobility/item/449083796,119000.0,2018,93800.0,40.0,150.0,12.0,1.0,0,2026-03-02
444591072,Nissan Leaf,https://www.finn.no/mobility/item/444591072,189000.0,2022,62600.0,40.0,150.0,12.0,2.0,0,2026-03-02
452633733,Nissan Leaf,https://www.finn.no/mobility/item/452633733,43700.0,2014,147750.0,40.0,109.0,12.0,2.0,0,2026-03-02
434235626,Nissan Leaf,https://www.finn.no/mobility/item/434235626,259000.0,2023,39899.0,59.0,218.0,13.1,2.0,0,2026-03-02
444591068,Nissan Leaf,https://www.finn.no/mobility/item/444591068,209000.0,2022,28700.0,40.0,150.0,12.0,2.0,0,2026-03-02
432642916,Nissan Leaf,https://www.finn.no/mobility/item/432642916,225000.0,2022,18400.0,40.0,0.0,12.0,2.0,0,2026-03-02
448775505,Nissan Leaf,https://www.finn.no/mobility/item/448775505,229000.0,2023,57500.0,59.0,218.0,12.0,2.0,0,2026-03-02
452614914,Nissan Leaf,https://www.finn.no/mobility/item/452614914,44942.0,2014,164600.0,24.0,109.0,23.4,3.0,0,2026-03-02
452491086,Nissan Leaf,https://www.finn.no/mobility/item/452491086,218900.0,2022,40100.0,62.0,217.0,12.0,2.0,0,2026-03-02
448727778,Nissan Leaf,https://www.finn.no/mobility/item/448727778,34942.0,2014,166025.0,24.0,109.0,18.266666666666666,2.0,0,2026-03-02
444190985,Nissan Leaf,https://www.finn.no/mobility/item/444190985,37000.0,2013,140000.0,40.0,109.0,12.0,2.0,0,2026-03-02
432214685,Nissan Leaf,https://www.finn.no/mobility/item/432214685,169000.0,2020,47900.0,40.0,150.0,12.0,2.0,0,2026-03-02
452408394,Nissan Leaf,https://www.finn.no/mobility/item/452408394,98900.0,2018,95700.0,40.0,150.0,12.0,2.0,0,2026-03-02
411071449,Nissan Leaf,https://www.finn.no/mobility/item/411071449,169000.0,2020,82000.0,40.0,150.0,12.0,2.0,0,2026-03-02
405259147,Nissan Leaf,https://www.finn.no/mobility/item/405259147,48000.0,2015,154553.0,24.0,109.0,3.8666666666666667,6.0,0,2026-03-02
448245939,Nissan Leaf,https://www.finn.no/mobility/item/448245939,169000.0,2021,82500.0,62.0,218.0,12.0,2.0,0,2026-03-02
452380441,Nissan Leaf,https://www.finn.no/mobility/item/452380441,139900.0,2020,69980.0,40.0,150.0,12.0,2.0,0,2026-03-02
443291527,Nissan Leaf,https://www.finn.no/mobility/item/443291527,159000.0,2019,77000.0,40.0,218.0,12.0,2.0,0,2026-03-02
442570576,Nissan Leaf,https://www.finn.no/mobility/item/442570576,144900.0,2020,75000.0,40.0,150.0,12.0,2.0,0,2026-03-02
448220058,Nissan Leaf,https://www.finn.no/mobility/item/448220058,119000.0,2019,100300.0,40.0,150.0,12.0,2.0,0,2026-03-02
325593233,Nissan Leaf,https://www.finn.no/mobility/item/325593233,67700.0,2015,144900.0,24.0,109.0,12.0,1.0,0,2026-03-02
420776811,Nissan Leaf,https://www.finn.no/mobility/item/420776811,104434.0,2018,112000.0,40.0,150.0,7.033333333333333,2.0,0,2026-03-02
452105854,Nissan Leaf,https://www.finn.no/mobility/item/452105854,26000.0,2014,187000.0,40.0,109.0,12.0,2.0,0,2026-03-02
442278760,Nissan Leaf,https://www.finn.no/mobility/item/442278760,31900.0,2012,92500.0,20.0,109.0,3.966666666666667,2.0,0,2026-03-02
304263831,Nissan Leaf,https://www.finn.no/mobility/item/304263831,239800.0,2022,20000.0,40.0,150.0,12.0,2.0,0,2026-03-02
448183513,Nissan Leaf,https://www.finn.no/mobility/item/448183513,47942.0,2014,120100.0,24.0,109.0,7.033333333333333,1.0,0,2026-03-02
448019563,Nissan Leaf,https://www.finn.no/mobility/item/448019563,169900.0,2019,101000.0,62.0,218.0,12.0,2.0,0,2026-03-02
452071269,Nissan Leaf,https://www.finn.no/mobility/item/452071269,36942.0,2013,138000.0,24.0,109.0,14.8,3.0,0,2026-03-02
